"CODI","NOM","ADREÇA","X_ETRS89","Y_ETRS89","LATITUD","LONGITUD"
"03-030","03-030. Font Lluminosa","Font Lluminosa","428940.797414921","4579844.220475100","41.366974431","2.150352376"
"03-031","03-031. Font Quadrada de les Petxines","Font Quadrada de les Petxines","429146.067369543","4579796.688841621","41.366564423","2.152812063"
"03-032","03-032. Estany del Pavelló Alemany","Estany del Pavelló Alemany de Mies van der Rohe","428992.190748253","4580272.990746230","41.370840758","2.150916605"
"03-033","03-033. PL. Estany del Pavelló d'Itàlia","Estany del Pavelló d'Itàlia","429128.311483746","4580342.309818380","41.371477090","2.152536009"
"03-034","03-034. FONT DE LES VIDUES","Font de les Vídues","429283.100549074","4580187.848403730","41.370099521","2.154404756"
"03-035","03-035. Font del Dimoni - Jardins de Laribal","Font del Dimoni - Jardins de Laribal","429569.399405666","4579979.305906190","41.368246348","2.157852034"
"03-036","03-036. Font de Ceràmica Octogonal - Jard Laribal","Font de Ceràmica Octogonal - Jardins de Laribal","429533.959175304","4579956.126139780","41.368034473","2.157431008"
"03-037","03-037. Llac dels Jardins de Can Sabaté (Ronyó)","Llac dels Jardins de Can Sabaté (Ronyó)","427910.113150091","4579491.007761980","41.363701527","2.138071903"
"03-038","03-038. Cascada de les Escales del Generalife","Cascada de les Escales del Generalife - Jardins de Laribal","429678.550254010","4580068.985214910","41.369063604","2.159146630"
"03-039","03-039. Font dels Tres Mars - Eix Mª Cristina","Font dels Tres Mars - Eix Mª Cristina","428848.014087573","4580742.082564930","41.375052976","2.149137724"
"03-040","03-040. Font Màgica - Eix Mª Cristina","Font Màgica - Eix Mª Cristina","429064.171175467","4580314.690263370","41.371222679","2.151772349"
